State,year,Kharif,Rabi,Zaid,Avg_Annual_Rainfall
ASSAM & MEGHALAYA,2001,1413.2,269.4,895.6,859.4
ASSAM & MEGHALAYA,2002,1589.8,152.7,1152.7,965.0666667
ASSAM & MEGHALAYA,2003,1573.3,314.4,1097.9,995.2
ASSAM & MEGHALAYA,2004,1849.7,388.7,1153.8,1130.733333
ASSAM & MEGHALAYA,2005,1525.2,282.2,1034.8,947.4
ASSAM & MEGHALAYA,2006,1208.1,175,911.4,764.8333333
ASSAM & MEGHALAYA,2007,1975.1,291.6,975.8,1080.833333
ASSAM & MEGHALAYA,2008,1683.9,181.4,889,918.1
ASSAM & MEGHALAYA,2009,1473.5,168.5,747.3,796.4333333
ASSAM & MEGHALAYA,2010,1690.2,139,1452,1093.733333
ASSAM & MEGHALAYA,2011,1236,68.1,755.4,686.5
ASSAM & MEGHALAYA,2012,1874.8,240.9,1223.4,1113.033333
ASSAM & MEGHALAYA,2013,1172.9,140,789.7,700.8666667
ASSAM & MEGHALAYA,2014,1705.5,68.8,858.3,877.5333333
ASSAM & MEGHALAYA,2015,1729.3,120.7,1179.4,1009.8
NAGA MANI MIZO TRIPURA,1901,1544.8,264,802.9,870.5666667
NAGA MANI MIZO TRIPURA,1902,1504,121.2,1029.8,885
NAGA MANI MIZO TRIPURA,1903,1595.4,290.2,803.7,896.4333333
NAGA MANI MIZO TRIPURA,1904,1678.2,273.3,1023.6,991.7
NAGA MANI MIZO TRIPURA,1905,1539.8,326,1001.5,955.7666667
NAGA MANI MIZO TRIPURA,1906,1770.9,269.4,891.6,977.3
NAGA MANI MIZO TRIPURA,1907,1442.4,241.4,852,845.2666667
NAGA MANI MIZO TRIPURA,1908,1581.3,340.5,757.5,893.1
NAGA MANI MIZO TRIPURA,1909,1549.9,318.8,855.2,907.9666667
NAGA MANI MIZO TRIPURA,1910,1625.8,245.2,841.8,904.2666667
NAGA MANI MIZO TRIPURA,1911,1602,302.8,1019.8,974.8666667
NAGA MANI MIZO TRIPURA,1912,1394.9,257.7,1000.9,884.5
NAGA MANI MIZO TRIPURA,1913,1717.1,383.9,1071.3,1057.433333
NAGA MANI MIZO TRIPURA,1914,1543.5,323.6,1004.7,957.2666667
NAGA MANI MIZO TRIPURA,1915,1764.1,318.6,1202.4,1095.033333
NAGA MANI MIZO TRIPURA,1916,1663.1,510.3,745.4,972.9333333
NAGA MANI MIZO TRIPURA,1917,1491.4,294.4,793,859.6
NAGA MANI MIZO TRIPURA,1918,2145.5,142.4,1299.1,1195.666667
NAGA MANI MIZO TRIPURA,1919,1509.7,237.2,659.4,802.1
NAGA MANI MIZO TRIPURA,1920,1582.7,208.8,947.6,913.0333333
NAGA MANI MIZO TRIPURA,1921,1644.7,364.7,1072.6,1027.333333
NAGA MANI MIZO TRIPURA,1922,1916.2,227.8,887.8,1010.6
NAGA MANI MIZO TRIPURA,1923,1781.5,378.2,1032,1063.9
NAGA MANI MIZO TRIPURA,1924,1779.7,441.8,958.7,1060.066667
NAGA MANI MIZO TRIPURA,1925,1544.3,287.1,978.6,936.6666667
NAGA MANI MIZO TRIPURA,1926,1567.7,333.2,923.4,941.4333333
NAGA MANI MIZO TRIPURA,1927,1852.7,372.9,1025.8,1083.8
NAGA MANI MIZO TRIPURA,1928,1722,323.8,889.9,978.5666667
NAGA MANI MIZO TRIPURA,1929,1930.4,205.4,1582.8,1239.533333
NAGA MANI MIZO TRIPURA,1930,1587,408.8,998.2,998
NAGA MANI MIZO TRIPURA,1931,1573.3,357.9,918.9,950.0333333
NAGA MANI MIZO TRIPURA,1932,1870.5,306.3,1185.5,1120.766667
NAGA MANI MIZO TRIPURA,1933,1802.8,149.3,963.1,971.7333333
NAGA MANI MIZO TRIPURA,1934,1890.6,589,1128.5,1202.7
NAGA MANI MIZO TRIPURA,1935,1946.1,208.9,935.3,1030.1
NAGA MANI MIZO TRIPURA,1936,1765,330.6,1239.9,1111.833333
NAGA MANI MIZO TRIPURA,1937,1924.7,357.1,988.7,1090.166667
NAGA MANI MIZO TRIPURA,1938,1841.2,414,1211,1155.4
NAGA MANI MIZO TRIPURA,1939,1803.1,292.6,962.2,1019.3
